DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 124140,SENSOR,-613.84 ,6687179.05 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124230,SENSOR,-674.94 ,6687122.37 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124320,SENSOR,-736.04 ,6687065.70 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124410,SENSOR,-797.13 ,6687009.02 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124500,SENSOR,-858.23 ,6686952.35 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124550,SENSOR,-919.33 ,6686895.67 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124640,SENSOR,-980.42 ,6686839.00 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124730,SENSOR,-1041.52 ,6686782.33 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124820,SENSOR,-1102.61 ,6686725.65 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124910,SENSOR,-1163.71 ,6686668.98 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125000,SENSOR,-1224.80 ,6686612.30 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125050,SENSOR,-1285.89 ,6686555.63 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125140,SENSOR,-1346.98 ,6686498.95 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125230,SENSOR,-1408.07 ,6686442.28 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125320,SENSOR,-1469.16 ,6686385.60 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125410,SENSOR,-1530.24 ,6686328.93 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125500,SENSOR,-1591.33 ,6686272.25 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125550,SENSOR,-1652.41 ,6686215.58 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125640,SENSOR,-1713.50 ,6686158.91 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125730,SENSOR,-1774.58 ,6686102.23 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125820,SENSOR,-1835.66 ,6686045.56 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125910,SENSOR,-1896.74 ,6685988.88 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130000,SENSOR,-1957.83 ,6685932.21 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130050,SENSOR,-2018.90 ,6685875.53 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130140,SENSOR,-2079.98 ,6685818.86 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130230,SENSOR,-2141.06 ,6685762.18 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130320,SENSOR,-2202.14 ,6685705.51 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130410,SENSOR,-2263.21 ,6685648.83 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130500,SENSOR,-2324.29 ,6685592.16 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130550,SENSOR,-2385.36 ,6685535.49 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130640,SENSOR,-2446.43 ,6685478.81 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130730,SENSOR,-2507.51 ,6685422.14 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130820,SENSOR,-2568.58 ,6685365.46 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130910,SENSOR,-2629.65 ,6685308.79 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131000,SENSOR,-2690.72 ,6685252.11 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131050,SENSOR,-2751.79 ,6685195.44 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131140,SENSOR,-2812.85 ,6685138.76 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
