date,x,y,x,bearing,sensor
100112 165002,0,0,0,197.4,FP
100112 165034,0,0,0,198.1,FP
100112 165054,0,0,0,197.4,FP
100112 165132,0,0,0,198.7,FP
100112 165158,0,0,0,195.2,FP
100112 165212,0,0,0,193.3,FP
100112 165222,0,0,0,193.3,FP
100112 165307,0,0,0,196.7,FP
100112 165333,0,0,0,196.7,FP
100112 165351,0,0,0,195.2,FP
100112 165418,0,0,0,194.6,FP
100112 165450,0,0,0,194.7,FP
100112 165536,0,0,0,196.1,FP
100112 165616,0,0,0,194.2,FP
100112 165658,0,0,0,196.3,FP
100112 165724,0,0,0,197,FP
100112 165748,0,0,0,196.4,FP
100112 165838,0,0,0,196.9,FP
100112 165918,0,0,0,197.4,FP
100112 165956,0,0,0,197.2,FP
100112 170024,0,0,0,197.2,FP
100112 170100,0,0,0,196.7,FP
100112 170126,0,0,0,196.3,FP
100112 170156,0,0,0,196.8,FP
100112 170224,0,0,0,197.7,FP
100112 170252,0,0,0,198.3,FP
100112 170320,0,0,0,198.8,FP
100112 170342,0,0,0,197.9,FP
100112 170420,0,0,0,197.6,FP
100112 170458,0,0,0,198.7,FP
100112 170514,0,0,0,199,FP
100112 170538,0,0,0,198.7,FP
100112 170606,0,0,0,197.7,FP
100112 170626,0,0,0,197.7,FP
100112 170654,0,0,0,198.7,FP
100112 170722,0,0,0,199.2,FP
100112 170748,0,0,0,199.1,FP
100112 170808,0,0,0,199.1,FP
100112 170848,0,0,0,199.2,FP
100112 170916,0,0,0,199.6,FP
100112 170946,0,0,0,200.2,FP
100112 171006,0,0,0,199.8,FP
100112 171034,0,0,0,198.8,FP
100112 171100,0,0,0,198.6,FP
100112 171126,0,0,0,198.9,FP
100112 171154,0,0,0,199.6,FP
100112 171216,0,0,0,200.4,FP
100112 171244,0,0,0,200.2,FP
100112 171310,0,0,0,198.8,FP
100112 171346,0,0,0,199.8,FP
100112 171414,0,0,0,200.6,FP
100112 171438,0,0,0,200.5,FP
100112 171502,0,0,0,199.9,FP
100112 171514,0,0,0,199.8,FP
100112 171538,0,0,0,198.2,FP
100112 171602,0,0,0,197.2,FP
